Movie Count,Tot_Profit,Avg_Profit,Max_Profit,Min_Profit,Tot_Rev,Avg_Rev,Max_Rev,Min_Rev,Tot_Bugd,Avg_Budg,Max_Budg,Min_Budg,Avg_ROI,Max_ROI,Min_ROI,Avg_RT_Ascore,Max_RT_Ascore,Min_RT_Ascore
12,774423514.0,64535292.833333336,305070709.0,-134154026.0,1846423514.0,153868626.16666666,363070709.0,23852659.0,1072000000.0,89333333.33333333,200000000.0,17000000.0,1.1476726844971157,5.259839810344827,-0.67077013,7.3,8.6,6.2
12,343380575.0,38153397.222222224,171024361.0,-52948399.0,892380575.0,99153397.22222222,201578182.0,22781115.0,549000000.0,61000000.0,140000000.0,3000000.0,4.882910095934053,20.491038333333332,-0.430472125,7.083333333333332,8.6,5.8
12,174839233.0,17483923.3,140863268.0,-32647000.0,892139233.0,89213923.3,250863268.0,6854611.0,717300000.0,71730000.0,127000000.0,2500000.0,0.46648905230906135,1.7418444,-0.48010294117647057,7.383333333333333,8.6,6.0
12,730656627.0,60888052.25,136606725.0,-23144955.0,1223656627.0,101971385.58333333,169106725.0,43337279.0,493000000.0,41083333.333333336,75000000.0,20000000.0,1.9950154612772681,5.0731613,-0.3085994,7.183333333333333,8.4,4.8
12,190205322.0,17291392.90909091,110117807.0,-43550246.0,591205322.0,53745938.36363637,150117807.0,12096300.0,401000000.0,36454545.45454545,68000000.0,6000000.0,0.8931782502108461,4.141351894736842,-0.6404447941176471,7.083333333333333,8.0,4.6
12,234347434.0,21304312.181818184,66868508.0,-33326758.0,840347434.0,76395221.27272727,131168070.0,26673242.0,606000000.0,55090909.09090909,130000000.0,12000000.0,1.2776017552741066,5.572375666666667,-0.5554459666666667,7.350000000000001,8.8,5.8
12,-190142488.0,-19014248.8,7119709.0,-76780252.0,377857512.0,37785751.2,60128566.0,20374484.0,568000000.0,56800000.0,100000000.0,33000000.0,-0.24411165680652683,0.21574875757575757,-0.76780252,6.6499999999999995,7.6,5.6
12,170000557.0,14166713.083333334,48637894.0,-12738149.0,603500557.0,50291713.083333336,183637894.0,7078738.0,433500000.0,36125000.0,135000000.0,6000000.0,0.6086290600659542,3.2987183333333334,-0.4899288076923077,7.666666666666667,9.0,6.0
12,-80816943.0,-8081694.3,134191110.0,-92958619.0,1356183057.0,135618305.7,334191110.0,25020758.0,1437000000.0,143700000.0,215000000.0,17000000.0,0.2054745870362053,3.768059764705882,-0.74979242,7.116666666666666,8.8,5.6
12,403902614.0,33658551.166666664,112872350.0,-14635550.0,864902614.0,72075217.83333333,124872350.0,32000304.0,461000000.0,38416666.666666664,100000000.0,12000000.0,1.9549206146323073,9.406029166666666,-0.23836364406779662,7.333333333333335,8.6,6.4
12,-273918639.0,-27391863.9,48637894.0,-99083906.0,1113081361.0,111308136.1,183637894.0,59874525.0,1387000000.0,138700000.0,200000000.0,28000000.0,-0.006712469520305886,1.4033667857142857,-0.6008365,7.366666666666667,8.2,5.8
12,569860100.0,51805463.63636363,268022860.0,-90181087.0,2091860100.0,190169100.0,407022860.0,22781115.0,1522000000.0,138363636.36363637,217000000.0,40000000.0,0.3328933911610994,2.1007086142857143,-0.7157229126984127,7.183333333333333,9.0,5.8
12,77264385.0,7024035.0,42259870.0,-39811630.0,613264385.0,55751307.72727273,202807711.0,3110580.0,536000000.0,48727272.72727273,190000000.0,2000000.0,0.9029746000906623,5.963733,-0.7139863333333333,7.166666666666667,8.6,5.6
12,856887078.0,85688707.8,293874981.0,-6912845.0,1229387078.0,122938707.8,328874981.0,28087155.0,372500000.0,37250000.0,80000000.0,4500000.0,3.1452395256502412,8.396428028571428,-0.19750985714285715,6.933333333333334,8.6,4.0
12,281965491.0,25633226.454545453,121101803.0,-94648545.0,909965491.0,82724135.54545455,171958438.0,15351455.0,628000000.0,57090909.09090909,130000000.0,15000000.0,1.1048774893416684,4.362259666666667,-0.8604413181818181,7.516666666666667,8.8,6.0
11,105136512.0,10513651.2,143632142.0,-67719421.0,741136512.0,74113651.2,233632142.0,10137502.0,636000000.0,63600000.0,150000000.0,20000000.0,0.2913976087389235,2.0249153225806453,-0.7103570857142857,6.672727272727272,8.0,4.0
11,231248710.0,21022610.0,144607287.0,-74985487.0,938448710.0,85313519.0909091,174340174.0,10724389.0,707200000.0,64290909.09090909,140000000.0,12600000.0,0.9608835728792919,5.78429148,-0.783861525,7.3999999999999995,9.2,5.6
