Name,Worldwide Gross Revenue (sus),Domestic Opening,Domestic Gross,China Opening,China Gross,UK Opening,UK Gross,France Opening,France Gross,Germany Opening,Germany Gross,Italy Opening,Italy Gross,Spain Opening,Spain Gross,Japan Opening,Japan Gross,South Korea Opening,South Korea Gross,Australia Opening,Australia Gross,Russia/CIS Opening,Russia/CIS Gross,India Opening,India Gross
A Beautiful Day in the Neighborhood,76451010.92,14914385.11,69448457.52,0.0,0.0,704360.3,2376171.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678373.42,3211243.21,0.0,0.0,40781.69,59570.93
A Christmas Carol,492025238.37,45454947.27,208519361.88,0.0,0.0,4817142.98,48707582.4,5149097.44,18943625.31,3743871.33,16924203.07,7015480.39,34079116.92,3726597.56,12586302.97,4789638.05,26624073.42,1214648.88,3488653.58,1728917.28,7092167.17,5806738.17,20156035.55,0.0,0.0
A Cinderella Story,122864502.56,23888626.69,90197151.22,0.0,0.0,1947943.57,12236805.17,0.0,0.0,0.0,1336781.83,28073.63,28073.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5993885.24,292705.75,826776.35,0.0,0.0
A Cure for Wellness,31785674.52,5202415.41,9680165.25,0.0,0.0,609437.13,1116055.61,1029631.3,1982543.54,929475.38,2846176.49,379881.77,792571.32,123702.62,251739.66,0.0,0.0,698890.75,1371859.82,327087.94,541765.41,2001509.86,4373382.51,0.0,0.0
A Dangerous Method,43513418.14,239460.82,8133550.96,0.0,0.0,419681.27,2885566.09,1254576.91,5220126.93,714973.46,3155846.16,837386.44,4481701.13,1417289.02,4841998.03,0.0,0.0,99556.61,131798.76,355693.12,1368462.41,493809.43,1433960.44,0.0,0.0
A Good Day to Die Hard,409429745.23,33375954.97,90511690.33,0.0,42494635.91,9598339.48,22260901.03,7929534.0,20951603.94,7680600.37,20498591.23,1799297.07,3726493.32,2427435.52,5924195.74,5829911.94,28794785.94,4633282.08,13125400.98,5368513.19,15095231.63,8916815.29,16437818.88,1855277.91,3022595.61
A Good Year,69865742.15,6151115.44,12329086.34,0.0,0.0,1182278.61,3025089.67,0.0,2298892.88,1798822.18,6343473.84,951179.1,11909648.16,2075255.98,7119768.45,0.0,1745121.16,907570.37,2491287.65,1400019.79,4253086.04,776830.12,1747321.1,0.0,122160.32
A History of Violence,104503964.12,619685.63,53634528.8,0.0,0.0,0.0,11465954.76,0.0,8014292.16,342265.65,1133716.57,629963.22,5034426.54,1476927.08,4346878.52,0.0,0.0,7657.54,27068.69,867183.65,3013607.85,234615.71,550033.99,0.0,0.0
A Man Called Otto,113190218.0,56257.0,64267657.0,0.0,0.0,1316253.0,5762972.0,415041.0,703583.0,740776.0,3051703.0,46262.0,1675337.0,332191.0,2594147.0,327369.0,327369.0,90008.0,249929.0,326239.0,5186036.0,0.0,0.0,0.0,0.0
A Million Ways to Die in the West,113762855.53,21916777.51,56287001.81,0.0,0.0,2711839.28,6919882.85,1462284.1,2807720.54,3381820.74,10973787.03,220681.51,220681.51,869847.92,3009827.29,0.0,0.0,0.0,0.0,2728869.18,7181864.34,1047252.71,2070654.17,0.0,0.0
A Monster Calls,56489793.83,36906.96,4466738.29,1853425.89,2519041.98,1412364.46,4241630.78,356467.6,560748.45,263930.93,555592.53,73083.16,73083.16,4312575.4,33633866.88,0.0,406672.72,310970.62,738694.48,59953.37,140382.34,449486.66,779440.32,0.0,50683.94
A Nightmare on Elm Street,169902505.81,37018208.97,92627780.13,0.0,0.0,0.0,7434448.99,0.0,4946896.79,0.0,5262891.47,0.0,3761947.22,0.0,6198652.9,0.0,0.0,0.0,0.0,0.0,11077221.76,0.0,4886739.78,0.0,0.0
A Nightmare on Elm Street,37719485.21,6667128.37,37630365.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Quiet Place,395257939.84,0.0,217971767.04,0.0,39932490.4,0.0,19640685.68,0.0,0.0,0.0,4635635.61,0.0,1552663.3,0.0,3911336.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Quiet Place Part II,315482231.69,50442857.37,169820661.69,15807410.0,41437680.37,5357136.55,17419107.0,0.0,5787233.9,933592.0,2184882.17,416545.41,1149189.16,592137.09,2088688.25,780477.61,3534439.27,2576061.47,8027763.46,4243600.0,9237245.69,2665336.2,8214859.54,0.0,199639.1
A Scanner Darkly,12660677.33,647374.14,9093332.98,0.0,0.0,755361.29,2939080.44,0.0,0.0,0.0,0.0,114737.38,114737.38,0.0,107526.0,0.0,0.0,0.0,0.0,89871.94,307462.72,0.0,0.0,0.0,0.0
A Series of Unfortunate Events,370810830.11,52713471.11,208026399.78,0.0,0.0,7495771.94,44578672.46,0.0,8787416.78,2510094.82,8010708.29,1077210.33,5021406.57,1710376.82,8196059.14,1839489.22,14444774.4,2974998.37,9073192.67,0.0,12657949.98,0.0,5314312.22,0.0,101343.88
A Serious Man,47541200.26,6691887.53,13959339.65,0.0,0.0,0.0,3635376.3,0.0,0.0,0.0,2740959.3,0.0,5512279.31,0.0,2008758.48,0.0,257480.59,0.0,1567333.37,0.0,0.0,0.0,3788383.82,0.0,0.0
A Simple Favour,113196872.98,18561935.94,62077487.47,0.0,0.0,2441271.22,7799157.77,749518.22,1568576.65,1554601.6,4897910.94,956978.43,2847392.75,295070.03,952933.72,151658.55,543451.46,789703.3,1062827.11,1767891.8,8263625.56,893969.57,2352056.97,0.0,0.0
