Name,Estimated Budget,Gross Revenue US&Canada USD,Opening Weekend Revenue US&Canada USD,Gross Revenue Worldwide USD
A Dark Foe,0.0,0.0,0.0,0.0
A Dark Song,0.0,0.0,0.0,28349.19
A Dark Truth,0.0,6100.18,668.37,6100.18
A Day to Die,0.0,0.0,0.0,101574.48
A Dirty Shame,26302590.8,2349115.95,51525.02,3356501.67
A Dog's Journey,18008140.96,25641759.27,9037931.41,88770094.27
A Dog's Purpose,26269150.52,77026665.86,21758988.13,244823490.55
A Dog's Way Home,20259158.58,47276261.48,12663395.63,90837715.86
A Fall from Grace,0.0,0.0,0.0,0.0
A Family Man,0.0,0.0,0.0,1959720.42
A Family Weekend,0.0,0.0,0.0,0.0
A Fantastic Fear of Everything,2076350.81,0.0,0.0,134198.71
A Few Best Men,19379274.19,0.0,0.0,21485195.0
A Field in England,424677.58,44142.28,12764.52,130621.95
A Futile and Stupid Gesture,34778222.23,0.0,0.0,0.0
A Ghost Story,119405.23,1906150.46,124217.26,2330411.57
A Girl Like Her,0.0,0.0,0.0,0.0
A Glimpse Inside the Mind of Charles Swan III,0.0,60946.61,16127.0,282981.75
A Good Day to Die Hard,123640306.9,90511690.33,33375954.97,409429745.23
A Good Marriage,0.0,0.0,0.0,0.0
A Good Old Fashioned Orgy,0.0,285475.83,167618.15,1966048.7
A Good Woman,0.0,406215.85,165238.15,11710071.75
A Good Woman Is Hard to Find,0.0,0.0,0.0,0.0
A Good Year,57849667.13,12329086.34,6151115.44,69865742.15
A Guide to Recognizing Your Saints,0.0,855859.38,156663.51,3364318.46
A Guy Thing,36122224.69,28076777.58,12622458.09,31484425.44
A Haunted House,3359790.95,53812673.64,24327146.93,80849450.31
A Haunted House 2,5219092.74,22611048.62,11539250.94,33087372.61
A Hidden Life,0.0,1891070.07,55054.86,5050971.02
A Hijacking,21455625.0,573677.73,54527.74,3721435.24
A History of Violence,54477857.96,53634528.8,619685.63,104503964.12
A Hologram for the King,36896215.96,5180836.28,1400307.33,11277337.02
A Home at the End of the World,11397789.35,1805886.79,113500.94,2883908.99
A House on the Bayou,0.0,0.0,0.0,0.0
A Kind of Murder,0.0,3585.08,1202.82,112101.77
A Late Quartet,0.0,2162931.87,104203.74,8725807.51
A Little Bit of Heaven,0.0,21282.6,13857.57,9382874.26
A Little Chaos,0.0,707076.86,230287.4,12774898.7
A Lonely Place to Die,5703043.55,0.0,0.0,630970.48
A Long Way Down,15657278.21,17414.81,1860.61,9469968.09
A Lot Like Love,51072991.84,37190874.27,12898642.41,73011768.31
A Love Song for Bobby Long,0.0,279723.37,48081.82,3472156.49
A Madea Family Funeral,22510176.2,82451449.54,30458893.09,84129223.01
A Man Apart,65020004.45,48288366.97,20228445.83,80102705.72
A Man Called Otto,50000000.0,64267657.0,56257.0,113190218.0
A Merry Friggin' Christmas,6523865.92,0.0,0.0,0.0
A Mighty Heart,25675303.03,14726049.19,6336765.88,30503455.5
A Mighty Wind,0.0,32114474.7,3814759.78,33865029.95
A Million Ways to Die in the West,52190927.35,56287001.81,21916777.51,113762855.53
A Monster Calls,51344248.75,4466738.29,36906.96,56489793.83
A Most Violent Year,25335401.63,7282830.95,218882.67,15210197.04
A Most Wanted Man,19571597.76,22491490.95,3506221.73,47276521.34
A Nice Girl Like You,2513272.1,0.0,0.0,842735.1
A Nightmare on Elm Street,51398679.97,92627780.13,48318135.33,169902505.81
A Perfect 14,0.0,0.0,0.0,0.0
A Perfect Day,0.0,17790.52,0.0,5155362.8
A Perfect Ending,235185.37,0.0,0.0,0.0
A Perfect Getaway,21176256.15,23468525.37,8997723.17,34722319.98
A Perfect Pairing,0.0,0.0,0.0,0.0
A Pesar De Todo,0.0,0.0,0.0,0.0
A Pigeon Sat on a Branch Reflecting on Existence,0.0,290950.07,33027.72,1921188.48
A Prairie Home Companion,16528476.32,33623634.76,7547386.57,42951720.04
A Prayer Before Dawn,0.0,16754.99,16754.99,1111608.2
A Private War,21794352.6,1893335.69,70125.65,4538797.97
A Quiet Passion,8238960.85,2227380.38,54717.45,4966357.24
A Quiet Place,19707659.26,217971767.04,58199687.86,395257939.84
A Quiet Place Part II,0.0,169820661.69,50442857.37,315482231.69
A Rainy Day in New York,0.0,0.0,0.0,26013348.6
A Royal Affair,0.0,2141078.97,52894.34,20429903.55
A Royal Night Out,0.0,288995.86,127749.96,6054109.57
A Scanner Darkly,14379774.4,9093332.98,647374.14,12660677.33
A Score to Settle,0.0,0.0,0.0,192705.12
A Secret Love,0.0,0.0,0.0,0.0
A Serbian Film,0.0,0.0,0.0,2263.01
A Series of Unfortunate Events,245490847.43,208026399.78,52713471.11,370810830.11
A Serious Man,10588128.07,13959339.65,380169.76,47541200.26
A Shaun the Sheep Movie: Farmageddon,0.0,0.0,0.0,47120346.41
A Simple Favour,23185481.49,62077487.47,18561935.94,113196872.98
A Single Man,10279735.99,13475265.35,319159.37,36661782.62
A Single Shot,0.0,25053.29,13466.04,25053.29
A Sound of Thunder,136194644.9,3235390.61,1561808.69,19859673.29
A Star Is Born,41733866.67,249630105.67,49742191.1,505945603.5
A Street Cat Named Bob,9838990.92,101714.26,40446.86,19743218.05
A Tale of Love and Darkness,5067080.33,724861.04,47085.84,918262.63
A Taxi Driver,0.0,1824307.73,396251.03,102990521.09
A Thousand Desires Like These,0.0,0.0,0.0,0.0
A Thousand Words,55369354.83,25539290.71,8549415.97,30514434.88
A Touch of Sin,0.0,207124.39,26699.59,1148902.02
A Touch of Spice,0.0,0.0,0.0,18775933.25
A Turtle's Tale: Sammy's Adventures,0.0,0.0,0.0,100698093.85
A United Kingdom,17218234.12,4799195.35,81798.91,17783152.08
A Very Harold &amp; Kumar Christmas,27089456.85,49988646.65,18469508.99,51602242.98
A Vigilante,0.0,0.0,0.0,93430.74
A Walk Among the Tombstones,36533649.15,34325451.01,16647314.0,76765526.53
A Walk in the Woods,10134160.65,37375140.44,10446124.32,47454821.11
A Walk to Remember,21951475.95,76794991.36,22653714.82,88354534.42
A Week Away,0.0,0.0,0.0,0.0
A Wrinkle in Time,115927407.43,116482245.28,38399341.16,153807689.42
A londoni férfi,9347804.5,0.0,0.0,78873.66
A-X-L,11592740.74,7536882.44,3243914.33,9816381.6
A.C.O.D.,0.0,236132.83,25535.76,236132.83
A.I. Rising,0.0,0.0,0.0,0.0
ABCs of Death 2,0.0,9356.53,5247.8,9356.53
ARQ,2459747.73,0.0,0.0,0.0
ATL,33056952.65,34991714.93,19097669.29,34991714.93
ATM,4152701.61,4166.54,2815.53,1275920.34
Aakrosh,0.0,0.0,0.0,3560568.66
Aarakshan,0.0,928307.21,491404.17,12441975.09
Abandon,46507364.29,19956650.45,9420674.95,22885751.23
Abattoir,6149369.33,0.0,0.0,815972.11
Abducted in Plain Sight,0.0,0.0,0.0,0.0
Abduction,49901631.04,40045567.02,15576798.41,117036654.91
Abigail,6753052.86,0.0,0.0,2183750.46
Abominable,84413160.75,68960363.74,23199100.14,214189697.47
Abominable,79567500.0,65001756.75,21867376.89,201894332.61
Abominable,0.0,2037.17,2037.17,2037.17
Abominable,0.0,1920.23,1920.23,1920.23
About Alex,0.0,0.0,0.0,0.0
About Fate,15450000.0,8948.64,6280.94,519988.29
About Last Night,16309664.8,63461145.81,33466141.74,65820405.36
About Schmidt,55808837.15,120949445.78,525285.8,196883450.03
About Time,16126996.55,20592724.51,1446390.0,117055720.06
About a Boy,55808837.15,76988808.01,15919712.64,242860442.48
Above Suspicion,0.0,0.0,0.0,26942.62
Above the Shadows,0.0,0.0,0.0,1794.06
Abraham Lincoln: Vampire Hunter,95512137.08,51935263.0,22572665.74,161223906.01
Absentia,94074.15,0.0,0.0,11497.2
Absolutely Anything,0.0,25549.49,0.0,7985455.1
Absolutely Fabulous: The Movie,0.0,5869148.72,2288940.39,48234557.18
Accepted,38015495.54,60037219.24,16567871.95,63838367.15
Accident Man,6955644.45,0.0,0.0,0.0
Accident Man: Hitmans Holiday,0.0,0.0,0.0,0.0
Accidental Love,32936022.12,0.0,0.0,31019.4
According to Ben Adams,0.0,0.0,0.0,0.0
According to Greta,0.0,0.0,0.0,0.0
Across the Hall,0.0,0.0,0.0,0.0
Across the Universe,72211789.76,39479454.78,1071597.28,47540649.44
Act of Valor,16610806.45,96914154.2,33881383.06,114198462.41
Action Point,22026207.41,5865472.38,2770855.16,5916544.2
Active Measures,0.0,23025.5,11023.54,23025.5
Acts of Vengeance,0.0,0.0,0.0,382938.54
Acts of Violence,0.0,0.0,0.0,448395.62
Ad Astra,101295792.9,56487452.59,21386240.85,143459459.88
Adam,0.0,3444765.79,103426.35,4593996.67
Adam Resurrected,15579674.17,0.0,0.0,128297.06
Adaptation.,34316113.46,40634829.74,694410.04,59242567.07
Addicted,6523865.92,22691010.34,9766678.73,22878302.7
Admission,17470912.93,24200328.26,8271783.81,25046839.69
Adopt a Highway,0.0,0.0,0.0,0.0
Adore,21502662.07,428685.13,161009.25,2117674.89
Adrift,40574592.6,36453387.18,13451102.3,69492698.3
Adult Life Skills,0.0,0.0,0.0,127673.21
Adult World,4370908.0,27720.3,4133.79,41400.15
Adulthood,0.0,0.0,0.0,10299724.15
Adults in the Room,7405847.97,0.0,0.0,1149369.6
Adventureland,0.0,24268027.36,8655097.4,25963330.36
Adverse,0.0,13355.67,8262.29,16383.48
Adú,0.0,0.0,0.0,7743004.51
Ae Fond Kiss...,0.0,52864.7,19726.94,11522817.83
Afflicted,0.0,153505.93,87973.38,153505.93
African Cats,7128804.43,21997704.01,8559127.76,43995768.73
After,15757123.34,13662061.85,6755696.68,78220146.44
After,14000000.0,12138565.0,6002349.0,69497587.0
After,731580.73,0.0,0.0,0.0
After,650000.0,0.0,0.0,0.0
After Earth,174709129.31,81336637.47,36984632.52,327394132.81
After Ever Happy,0.0,1104932.5,118442.79,19815215.19
After Last Season,7562948.62,0.0,0.0,0.0
After Midnight,0.0,0.0,0.0,7121.82
After Porn Ends,553693.55,0.0,0.0,0.0
After School Special,0.0,43818.64,26058.8,137911.95
After Sex,1323882.81,0.0,0.0,0.0
After We Collided,0.0,2607774.41,462113.16,52440421.12
After We Fell,0.0,2302948.67,452428.23,23078505.63
After Yang,0.0,48278.16,48278.16,751131.62
After the Dark,0.0,0.0,0.0,2309939.13
After the Sunset,105210363.18,49678988.56,20165319.61,109870950.81
After the Wedding,0.0,1771841.25,56572.57,3140190.96
After the Wedding,0.0,2602008.61,83078.73,4611476.3
After the Wedding,0.0,1727187.81,53248.95,13092732.22
After the Wedding,0.0,2536433.53,78197.87,19227118.67
After.Life,6608401.71,159475.42,88032.72,3561979.92
Afterlife of the Party,0.0,0.0,0.0,0.0
Aftermath,0.0,0.0,0.0,0.0
Aftermath,0.0,0.0,0.0,0.0
Aftermath,11139450.0,0.0,0.0,892014.27
Aftermath,12537549.11,0.0,0.0,1003969.92
Afternoon Delight,0.0,234508.03,36758.8,236200.02
Afterschool,0.0,6093.21,4060.06,77853.19
Aftershock,2609546.37,76342.28,52424.48,384511.44
Aftersun,0.0,1708553.7,62574.56,8604427.39
Afterwards,23293881.76,0.0,0.0,5842429.24
Against the Ice,0.0,0.0,0.0,0.0
Against the Ropes,68386736.07,10317962.78,5328108.8,11567021.97
Against the Sun,0.0,5885.41,3829.45,5951.29
Age of Heroes,0.0,0.0,0.0,0.0
Age of the Dragons,0.0,0.0,0.0,0.0
Agent Cody Banks,50571114.57,86581956.38,25401720.94,106191780.22
Agent Cody Banks 2: Destination London,45591157.38,41435626.84,14052606.28,50534282.18
Agent Revelation,0.0,0.0,0.0,0.0
Agneepath,830540322.43,2750123.87,1578668.9,35992428.3
Agora,105881280.74,936932.87,50311.76,59682770.08
Aileen: Life and Death of a Serial Killer,0.0,175846.6,29183.15,175846.6
Ain't Them Bodies Saints,0.0,532888.38,35504.93,1385904.36
Air,0.0,0.0,0.0,0.0
Airplane Mode,0.0,0.0,0.0,0.0
Aiyai: Wrathful Soul,4043089.9,0.0,0.0,0.0
Akeelah and the Bee,13222781.06,31153582.9,9936234.03,31318859.4
Aladdin,205968112.23,400185030.08,102985101.71,1186628440.42
Alan Partridge: Alpha Papa,0.0,206191.71,17019.36,13411749.24
Albatross,0.0,0.0,0.0,47038.7
Albert Nobbs,11073870.97,4173044.31,963548.59,10426408.03
Alcarràs,0.0,42325.79,11546.3,3421768.15
Alex &amp; Emma,54183337.04,25680550.2,11037279.41,27757937.54
Alex Cross,48448185.48,35835616.75,15775792.28,47920608.27
Alex Rider: Operation Stormbreaker,66113905.29,1120045.59,0.0,39565651.75
Alex Strangelove,0.0,0.0,0.0,0.0
Alexander,271793438.23,60140332.02,24000389.9,293358392.34
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",36533649.15,87359978.16,23955935.75,131330834.46
Alexandra's Project,3612222.47,1358462.95,66966.99,2212441.11
Alfie,105210363.18,23496651.45,10903888.06,61479468.81
Ali Baba ve 7 Cüceler,0.0,0.0,0.0,9901118.03
Ali G Indahouse,9301472.86,0.0,0.0,43308641.73
Ali and Nino,24597477.31,0.0,0.0,62380.43
Ali's Wedding,0.0,0.0,0.0,1107895.45
Alice Through the Looking Glass,209078557.12,94751181.05,33032845.17,368741763.77
Alice in Wonderland,293706742.69,490770911.77,170498266.44,1505934647.27
"Alice, Darling",0.0,101000.0,0.0,165264.0
Alien Abduction,0.0,16827.66,13718.39,107937.36
Alien Autopsy,8264238.16,0.0,0.0,6683474.52
Alien Hunter,12642778.64,0.0,0.0,0.0
Alien Outpost,5219092.74,0.0,0.0,59718.16
Alien Raiders,0.0,0.0,0.0,0.0
Alien Trespass,0.0,158104.95,65702.36,158104.95
Alien vs. Predator,105210363.18,140775378.01,67143598.47,311119476.29
Alien: Covenant,115823072.76,88672748.66,43177672.55,287637362.83
Alienated,0.0,0.0,0.0,0.0
Aliens in the Attic,68066537.62,38117884.25,12113458.34,87550290.57
Aliens vs. Predator: Requiem,64188257.56,67072020.95,16142424.07,209078622.12
Alita: Battle Angel,191336497.7,96611661.59,32105828.74,455809169.03
All About Steve,22688845.87,51220679.13,17003344.79,60663230.74
All About the Benjamins,27904418.58,48211987.55,18616509.12,48937900.54
All Cheerleaders Die,0.0,0.0,0.0,0.0
All Day and a Night,0.0,0.0,0.0,0.0
All Eyez on Me,47762091.86,53639577.87,31565195.15,66471336.69
All Good Things,0.0,854721.87,54588.34,2576379.39
All Hallows' Eve,562754.4,0.0,0.0,0.0
All I Want,0.0,0.0,0.0,281747.93
All Is Lost,12095247.41,8417848.71,125767.73,18314245.99
All Is True,0.0,1351151.94,49759.87,3398072.05
All My Friends Hate Me,0.0,80405.0,35570.0,210057.0
All My Life,27318175.0,998681.45,404653.2,2147332.03
All Nighter,0.0,0.0,0.0,114822.46
All Roads Lead to Rome,0.0,0.0,0.0,779411.65
All Together Now,0.0,0.0,0.0,0.0
All or Nothing,16742651.15,374934.93,48163.03,5293832.82
All the Beauty and the Bloodshed,0.0,500082.0,28803.0,1483975.0
All the Boys Love Mandy Lane,1007937.28,0.0,0.0,2559676.89
All the Bright Places,0.0,0.0,0.0,0.0
All the King's Men,90906619.77,11935969.76,6069861.45,15622092.7
All the Money in the World,59702614.83,29987079.52,6668404.76,68056567.68
All the Old Knives,0.0,0.0,0.0,0.0
All the Real Girls,4515278.09,992757.94,71191.49,1047519.23
Allegiant,135286125.2,81398034.63,35699976.69,220451038.41
Alles is familie,0.0,0.0,0.0,12885671.15
Alles is liefde,6002404.44,0.0,0.0,23329044.09
Allied,104539278.56,49315560.97,15621541.76,146994552.68
Almost Christmas,20907855.71,51849981.72,18613200.1,52369160.67
Almost Friends,0.0,1768.39,0.0,42797.22
Almost Friends,0.0,1990.34,0.0,48168.65
Almost Friends,0.0,5440.1,5440.1,5440.1
Almost Friends,0.0,6122.88,6122.88,6122.88
Aloha,46870493.01,26687192.25,12249964.38,33252739.97
Alone,819545.25,587438.02,199393.17,702079.28
Alone in Berlin,0.0,40739.57,10907.75,1482733.47
Alone in the Dark,34048661.22,8816167.08,4825412.02,21610080.92
Alone with Her,1557967.42,16805.79,8654.51,2614217.91
Along Came Polly,73647254.23,154478910.33,48609265.7,312670696.14
Along for the Ride,0.0,0.0,0.0,0.0
Alpha,59122977.79,41568300.31,12001398.77,115499258.53
Alpha Dog,0.0,24567416.91,10290621.33,51914058.6
Alpha Gateway,1275201.48,0.0,0.0,12610.58
Alpha and Omega,29370674.27,36870868.04,13373798.49,74171624.36
AlphaGo,0.0,0.0,0.0,0.0
Alps,0.0,22893.44,3746.9,332518.81
Already Tomorrow in Hong Kong,0.0,26080.71,18406.29,26080.71
Altar,0.0,0.0,0.0,0.0
Altered,12837651.51,0.0,0.0,70343.91
Altitude,0.0,0.0,0.0,40805.54
Altitude,0.0,0.0,0.0,50185.67
Altitude,0.0,0.0,0.0,0.0
Altitude,0.0,0.0,0.0,0.0
Alvin and the Chipmunks,96282386.35,348745994.57,71100397.36,586283583.11
Alvin and the Chipmunks: Chipwrecked,106932066.51,189784089.56,33141446.82,488601747.32
Alvin and the Chipmunks: The Road Chip,114009307.32,108799065.51,18098545.57,297435887.24
Alvin and the Chipmunks: The Squeakquel,113444229.36,332186805.54,73928450.53,670289018.24
Always Be My Maybe,0.0,0.0,0.0,0.0
Always Shine,0.0,17102.0,4211.0,17102.0
Amanda Knox,0.0,0.0,0.0,488.26
Amateur,0.0,0.0,0.0,0.0
Amateur Night,0.0,0.0,0.0,77399.65
Amazing Grace,0.0,5009027.44,64551.31,8774592.74
Amazing Grace,0.0,7141675.4,92034.73,12510471.13
Amazing Grace,0.0,23917830.94,4845315.43,36151748.16
Amazing Grace,0.0,34101107.85,6908261.22,51543748.52
Ambulance,41200000.0,23464548.45,8960618.9,53870013.52
Amelia,60503588.99,21549091.36,5905221.38,29711930.05
Amen.,191610340.89,510276.94,30293.04,15661916.73
AmeriGeddon,0.0,389321.49,154436.49,389321.49
America: Imagine the World Without Her,6523865.92,18846798.86,50374.68,18846798.86
America: The Motion Picture,0.0,0.0,0.0,0.0
American Animals,0.0,3311992.7,156262.03,4729922.85
American Assassin,39403725.79,43284006.49,17727829.37,80281136.59
American Dreamz,28098409.75,11886999.19,6061686.46,27530000.41
American Fable,0.0,0.0,0.0,0.0
American Factory,0.0,0.0,0.0,0.0
American Gangster,160470643.91,208876043.97,69909252.65,432878275.5
American Heist,12667700.81,0.0,0.0,3713504.82
American Hero,1254102.38,0.0,0.0,65649.09
American Honey,0.0,815708.92,87570.71,3553015.82
American Hustle,53756655.17,201745779.66,995109.6,337553905.46
American Made,59702614.83,61305033.01,20031887.01,161037765.1
American Mary,0.0,0.0,0.0,0.0
American Murder: The Family Next Door,0.0,0.0,0.0,0.0
American Pastoral,0.0,669171.91,183297.94,2537766.01
American Reunion,69211693.54,78917278.39,29780518.23,325280541.44
